Case #1: Impossible
21 24 146571
37 10 164510
49 40 245380
38 21 204377
9 29 217221
22 34 69298
36 40 149795
44 18 283699
16 23 150098
21 32 152976
28 24 228437
38 46 239143
31 32 54022
22 29 209749
49 48 100998
24 9 30784
17 12 231430
2 27 208807
25 8 231134
10 36 189329
21 37 96646
15 4 108140
11 28 158142
49 4 194792
13 39 254128
30 43 145192
10 26 233598
15 34 222527
33 39 235525
48 39 273838
47 39 99267
16 3 256387
35 30 63342
26 18 206377
41 47 148694
10 11 209375
11 42 219080
13 35 113653
41 9 85191
24 12 167301
43 31 183779
8 2 208206
20 18 325725
27 21 208455
14 20 304991
30 45 112893
44 36 194820
16 49 78736
35 26 96538
34 36 213594
29 19 56600
8 18 102509
25 28 206133
33 24 168326
19 15 28937
13 42 167242
2 25 253154
2 14 281511
28 47 162427
40 2 178358
20 23 305519
22 38 82257
25 3 382898
32 20 266998
10 49 140087
21 16 130176
40 42 277083
20 39 264482
4 3 213577
25 41 183135
48 22 192602
19 31 191243
33 13 274754
32 3 279187
15 36 8933
9 22 168036
17 22 172861
44 29 232814
23 35 146887
42 34 180012
31 28 227761
31 10 262488
4 29 135803
48 46 268296
44 21 182979
15 7 150064
33 21 283258
20 8 231686
29 43 49136
13 6 191765
46 27 230247
45 37 63507
3 31 310689
3 6 350337
26 29 223623
40 38 226761
26 6 211412
1 42 239154
35 4 111169
27 4 131510
23 26 102853
30 6 155593
4 38 119693
39 25 263981
11 6 196767
19 47 131778
15 25 276063
35 48 148822
40 37 208808
44 47 223840
18 39 254370
3 15 148383
25 32 235124
21 14 264789
32 41 73090
22 23 45745
50 44 255873
48 11 31710
47 9 117565
46 5 162909
15 31 203854
18 14 213861
36 18 217108
50 41 48378
20 29 246287
9 48 152545
41 23 149691
44 12 306757
4 5 222426
42 17 265947
37 9 80850
4 39 238486
49 12 209188
48 5 213194
34 18 121423
25 5 245042
45 4 160720
49 31 218269
47 17 95815
3 29 176046
3 33 324044
2 6 206006
18 25 214515
50 23 176968
7 2 146012
10 40 273186
46 34 216889
4 33 215473
40 18 232471
43 16 129477
43 27 209154
20 22 259774
48 50 126430
23 48 146857
26 45 146089
20 28 55179
43 48 66831
2 47 141735
1 4 156187
21 29 49835
23 7 192279
17 21 129668
12 19 133607
43 33 283957
46 47 145015
18 32 180125
41 5 227224
33 20 376072
37 33 206334
35 31 124308
36 19 20004
19 7 137453
29 18 203811
23 27 139819
14 8 206247
26 15 200002
13 26 182927
12 18 234232
37 25 178794
11 7 212091
13 24 157682
13 16 149698
37 35 13956
34 3 327964
4 14 197977
1 44 80104
1 10 246919
24 47 106345
7 44 271184
37 44 211836
15 30 166665
39 6 230303
20 40 344728
32 14 245168
12 20 283738
48 10 210176
1 36 114716
47 1 156229
23 42 250448
8 27 207278
15 13 51737
26 50 126619
47 8 66471
44 34 193948
13 14 294637
6 38 222932
6 28 293463
15 50 161316
6 35 173359
37 19 103411
31 37 110352
34 50 177056
29 30 185757
4 16 158655
7 18 282841
20 7 371454
2 48 49410
5 20 295935
41 45 155922
47 50 100316
6 33 208951
40 4 217947
12 11 208245
34 39 176007
1 41 160985
Case #100: 18
4 8 574209
3 5 570051
5 4 606835
5 7 998358
3 1 97418
8 9 415878
5 9 358109
3 2 308933
1 9 309360
7 2 743615
3 9 211942
5 1 576801
1 6 602809
8 7 826120
6 4 818725
9 6 660394
5 2 365286
2 6 814298
Case #101: 4
4 2 596282
3 4 867540
1 5 643649
6 3 442949
Case #102: Impossible
Case #103: 55
14 17 337927
1 21 540047
15 7 143846
5 12 114198
12 23 329996
11 6 220583
4 1 522353
20 15 265323
17 13 182287
8 18 165366
15 9 50366
2 8 292816
2 20 417596
9 21 48487
12 11 236140
3 5 345357
2 16 229773
14 22 204530
22 1 609090
13 2 456073
19 4 163679
14 10 300196
10 18 185772
7 13 224046
17 4 15319
3 14 419581
1 18 543377
22 8 99653
22 17 160873
9 14 222950
18 5 32821
3 2 385178
15 12 86586
17 21 204474
20 10 377585
16 13 378992
22 11 260655
5 15 128344
2 10 488135
20 23 551825
13 1 645615
22 3 261457
16 10 316590
20 9 302475
6 5 193414
23 10 174240
10 7 256108
4 12 232968
21 6 163923
6 3 151943
22 9 20556
8 7 60789
12 16 139755
16 9 175975
4 3 179591
Case #104: 50
5 36 674757
19 20 906648
3 26 964754
38 8 936996
27 23 609756
10 45 856700
12 35 551402
44 6 674811
48 8 763747
23 49 698707
11 13 689336
2 26 615291
16 21 435498
21 46 529838
10 1 676915
10 4 847652
1 3 890596
16 29 950065
46 7 637295
18 34 459547
10 17 368531
30 11 560623
44 48 659856
11 47 730672
4 45 684947
19 21 381819
13 43 881579
21 22 732286
36 42 842281
27 19 863133
42 12 327850
39 19 335958
21 2 368163
50 22 591809
13 1 414061
19 28 561606
48 39 678286
48 6 940635
33 26 919977
17 20 874054
38 1 704041
30 12 267618
33 13 621661
16 12 321239
1 2 655399
44 35 197016
41 33 638285
28 21 870740
13 22 566483
34 49 395204
Case #105: 138
5 22 257301
7 14 244876
1 9 215305
1 16 236562
6 3 244179
7 22 280094
1 12 197545
5 13 130070
20 18 189110
16 5 227379
6 13 189162
19 20 242443
10 18 293840
11 14 155384
4 14 333415
11 17 282054
19 6 250730
11 9 137137
16 9 213087
9 2 167339
10 21 67982
7 3 22768
11 12 120366
8 22 300668
17 10 233420
21 20 36748
3 16 92207
14 17 126670
18 15 227248
14 18 272498
9 4 260961
4 15 304562
10 12 117030
22 19 362477
16 17 233181
13 7 151563
20 3 197176
16 10 239
5 9 242013
17 15 359579
20 8 208278
5 17 241098
15 6 199165
12 20 12300
18 7 195827
19 10 164647
17 13 111028
5 21 159158
8 18 160838
1 6 102323
5 11 223428
4 5 401459
20 17 265088
15 2 262997
6 18 28083
19 2 242485
11 20 108066
18 9 289545
13 20 154060
20 1 185245
7 6 221411
4 2 292694
3 22 257326
19 11 240358
13 15 306185
17 22 305505
6 5 145554
4 20 286097
11 16 75950
2 14 245480
18 11 259560
20 15 171134
19 17 216584
12 22 252430
22 15 367078
20 14 152529
6 10 307666
15 19 311826
2 8 88052
18 19 222647
17 4 411504
7 1 121587
2 13 152167
22 14 412328
14 9 226751
4 16 253981
22 13 300909
9 15 360505
9 3 189503
2 5 165441
21 11 71318
5 3 187586
18 1 74240
8 3 111424
15 7 262393
8 14 255596
8 4 278243
1 2 122191
7 21 165635
1 21 202389
19 14 89914
15 10 147657
3 17 140974
3 15 239625
5 8 123230
9 19 136837
9 13 270398
16 19 164408
1 13 86839
9 7 166735
19 4 388890
18 17 165675
7 19 241881
1 14 198258
1 19 148407
6 14 287084
3 2 23372
2 12 214079
4 22 493215
8 15 323580
13 11 188630
21 2 165031
7 8 88656
17 2 118810
22 18 139830
6 4 325302
21 4 249349
4 13 366661
16 6 307427
13 21 117312
11 7 188868
9 8 232041
17 9 284941
13 10 158528
8 11 100212
4 7 293298
7 17 118206
15 11 223372
Case #106: 7
4 6 588549
3 6 660400
6 1 337297
1 4 555453
5 1 581158
3 2 492811
6 5 243861
Case #107: 18
8 9 162602
3 2 472111
7 8 361966
6 4 322456
1 6 604832
3 4 632144
10 7 301008
5 6 199756
10 6 367605
2 5 37333
2 10 205182
8 4 425031
10 8 362518
3 8 236054
1 8 599745
6 3 338629
7 9 199364
4 2 160033
Case #108: 1
2 1 1000000
Case #109: 220
23 2 169485
22 12 183993
22 29 206526
6 28 174894
13 7 109620
14 26 179989
4 8 270553
1 11 140633
2 26 24203
21 29 241398
8 16 166582
20 16 157534
10 24 340339
8 18 277693
3 11 265108
24 2 210044
29 27 250700
19 26 279148
18 15 170720
19 28 304918
19 12 334220
16 21 243697
23 20 179554
20 4 131915
7 16 20160
23 15 66
11 29 241055
26 12 124827
28 21 286903
16 27 214234
8 10 286892
6 18 184091
28 23 132330
25 14 231249
9 21 309477
17 23 85770
27 15 231362
21 22 177459
2 1 205565
28 7 174378
13 22 155698
1 25 176917
28 1 231633
14 13 102279
28 12 228065
3 5 184143
16 3 201890
4 12 67779
6 20 198942
17 7 48416
11 20 168060
10 1 254659
12 8 202774
4 18 82552
26 10 171298
8 24 213860
12 10 223575
9 26 205145
26 17 188239
25 29 298679
25 22 273574
26 22 166163
29 1 272527
4 14 237037
13 26 77710
27 8 165573
7 18 184227
19 11 266914
27 26 170332
27 9 305393
20 2 99070
12 29 163512
10 4 215458
5 1 109666
20 22 91296
2 19 276608
27 6 175310
26 29 230102
22 27 186761
29 13 267297
7 11 83378
8 13 174479
9 16 136305
20 13 152577
18 3 333339
21 25 233195
11 21 254223
7 14 40166
16 24 47278
25 17 239499
2 3 283632
20 15 179488
8 3 330817
5 11 80965
21 7 223537
8 1 206342
3 17 230146
18 14 174401
16 25 245974
1 20 235956
11 23 41330
29 15 199791
23 10 274284
29 28 118109
15 8 106973
22 7 46078
11 13 26242
11 9 101193
9 5 113732
14 8 171005
9 3 201400
6 3 243298
21 19 338326
12 2 100624
19 20 252163
25 18 132915
9 10 212516
28 20 271808
20 9 253519
21 2 185233
24 5 69851
10 14 308991
5 29 162861
5 27 191661
16 15 59609
3 20 319104
14 5 37753
21 23 249228
29 17 208864
26 25 107411
17 9 159735
29 10 376421
15 21 249162
22 6 107646
22 28 180512
26 15 145216
21 6 243108
17 19 238739
10 25 77742
16 18 164067
6 11 54635
27 4 227380
12 3 319645
14 1 71913
12 16 155278
28 17 204546
6 7 61568
9 12 238258
26 24 185841
28 27 190864
21 14 221706
9 7 116145
19 1 302402
19 10 249479
22 3 227808
9 15 142457
4 11 161000
19 29 356753
14 15 77454
17 6 29652
14 19 230489
24 29 189220
18 5 186640
27 21 181628
18 27 195836
27 14 153908
4 26 57048
1 23 99435
28 16 191873
1 12 195170
17 15 85704
13 24 174393
8 20 248053
7 8 149087
10 5 313919
26 28 277480
22 15 88192
3 7 181730
20 18 100371
25 13 181454
7 10 316332
21 4 218078
18 10 145794
19 25 171737
20 21 86163
27 12 244241
9 29 163905
11 25 155212
9 28 274721
18 2 49707
22 5 48491
15 3 223844
17 5 46003
12 5 135502
25 4 137716
13 28 199770
4 1 238410
6 5 59155
16 11 100873
17 18 182651
1 17 63663
15 28 132264
25 9 134774
12 15 95801
19 22 242383
26 18 25504
25 24 262597
15 11 41264
12 7 137915
5 15 39701
10 2 182613
17 21 213456
6 8 149603
24 23 106821
23 16 59543
29 20 155235
14 28 196296
20 26 74867
2 5 185339
3 19 378035
Case #110: 127
6 27 219628
3 8 224371
13 32 266022
22 19 198790
28 15 293571
9 19 198804
27 13 223905
30 4 206334
30 6 212424
20 33 317089
23 17 200966
28 26 833
17 7 127818
33 16 292411
13 12 172485
29 24 694399
9 20 158417
16 26 88551
31 8 341017
17 31 359302
7 19 159986
17 1 112517
27 20 181102
23 21 54813
2 18 207633
3 21 242726
6 15 471876
16 18 166710
7 29 287816
32 21 268073
12 28 267821
25 18 18299
9 29 242995
22 28 86011
25 17 139904
34 29 407363
17 30 238442
17 2 329238
29 6 261442
7 31 295213
28 19 207193
19 27 221489
7 23 163693
22 10 260947
27 15 301406
29 1 349953
3 27 200865
29 8 294510
31 14 336662
23 2 340516
3 23 187913
7 8 45804
23 32 228108
12 30 285688
17 10 254147
1 26 110177
26 27 75054
30 24 517466
29 23 256977
31 24 537979
26 9 82989
18 24 552967
2 33 110787
29 12 258694
28 25 189043
16 2 341638
33 5 332220
20 21 209941
19 5 252645
13 18 78070
27 11 219606
4 12 284726
10 9 255692
32 18 190614
20 17 156872
3 26 226607
5 18 95141
2 3 152603
23 26 211733
28 18 173406
21 9 235169
12 34 355320
24 23 479990
8 1 107941
12 3 149445
27 21 209394
22 21 227968
14 19 150318
30 22 239973
21 30 92289
1 9 110972
4 7 95710
18 11 150086
18 30 191273
15 33 289443
24 7 564055
11 9 193831
20 34 262236
22 23 202497
2 5 221433
34 18 260905
34 33 344331
9 18 159748
32 5 283093
24 16 526958
24 5 566767
17 26 81444
16 8 86315
27 22 127334
28 3 225774
10 31 333641
15 2 178656
24 27 652585
34 10 356849
7 1 62137
25 24 534668
32 22 103219
6 8 176902
1 5 279491
10 5 191085
32 20 189283
13 29 190047
10 26 270183
33 28 376715
34 7 189689
9 6 193853
1 3 210661
Case #111: 210
6 15 152662
4 12 171880
24 23 41128
18 15 165754
17 21 185519
4 5 115881
7 11 117513
20 3 159447
26 27 122417
7 12 248739
21 13 193493
21 24 97427
19 5 151746
5 11 78959
8 13 151324
19 22 97918
21 14 67421
18 22 62218
16 5 118014
16 24 82799
24 19 116531
21 6 80075
19 2 177887
1 23 39034
3 16 112427
14 4 100970
2 26 232263
16 17 179505
6 7 160575
26 15 191151
13 16 156637
15 3 166409
17 25 260422
5 21 136471
26 20 218424
16 14 103103
18 4 79241
20 6 172618
26 3 185857
11 27 33549
18 20 166643
21 1 86719
6 9 168490
1 20 165974
25 7 184908
17 11 135218
19 16 117074
19 27 106336
23 15 126051
8 15 162409
23 4 39538
16 21 167424
13 14 134434
25 26 50497
8 26 166137
10 26 152966
16 25 169491
1 9 161846
20 10 163444
22 14 38917
2 25 230304
22 23 22515
7 5 184878
26 9 252591
1 25 161622
27 23 30933
17 27 130518
23 26 129779
1 17 98800
20 7 203460
13 15 241017
16 20 168611
14 8 97790
10 16 78175
2 8 138842
19 25 104873
18 11 42319
13 3 151784
10 21 120327
10 27 67437
6 22 62961
2 21 162820
18 2 62781
7 2 217381
11 8 38974
10 15 162555
23 6 45678
1 19 114437
27 8 67291
17 14 194034
12 10 125316
20 4 166478
20 9 211375
9 21 179111
17 20 108880
18 25 167523
15 9 248863
8 23 36358
16 1 80705
19 21 131293
2 5 178827
18 13 154669
12 6 105731
12 5 129177
22 3 88039
8 5 112701
18 10 76207
13 19 70562
26 4 104638
7 10 151401
19 9 198215
16 8 78029
12 13 185483
16 2 60813
14 20 188372
19 20 202343
16 4 81209
25 8 115909
21 3 118441
1 7 153931
15 20 198976
18 1 78737
22 11 19899
4 3 104515
9 8 86454
5 20 141417
26 24 161636
8 12 170200
20 11 129556
25 24 111139
24 3 111884
12 17 44069
10 8 72862
26 6 170787
18 6 85381
19 12 209245
24 20 129691
12 24 174970
22 25 145103
11 1 36418
15 17 157929
19 3 146159
25 6 168266
23 19 75403
17 4 171593
20 2 161945
17 10 169106
19 17 211976
3 17 67078
13 20 241906
7 13 229863
6 3 38366
10 11 33888
25 12 256430
3 11 68140
23 13 114966
6 4 66149
14 25 168745
1 6 6644
19 18 115106
11 24 43744
13 17 141414
23 7 114897
26 21 185669
1 3 31722
5 27 45410
13 6 113418
5 17 85108
5 1 49752
2 23 102484
10 23 36504
12 16 175513
18 7 154600
22 16 64186
15 12 113860
24 18 80831
20 8 124921
19 11 78019
9 7 164993
27 18 70636
19 26 54376
15 1 148587
23 18 39703
27 3 63440
7 21 149179
16 7 156568
16 15 167722
11 15 128667
13 11 117582
25 5 204163
11 16 44287
14 10 52906
7 24 73769
23 16 41671
26 14 118248
8 7 78539
22 12 111327
16 18 1968
15 5 148379
11 25 125204
11 23 2616
27 15 102969
14 19 63872
4 15 86513
5 3 18030
24 8 4770
20 27 96007
15 7 221066
22 10 13989
12 26 243360
Case #112: Impossible
Case #113: 13
3 2 883329
4 6 557209
7 5 396101
3 6 916615
4 7 677859
5 6 523871
5 1 210635
7 3 776949
5 3 438118
1 6 689132
5 2 480853
2 6 212662
6 7 139666
Case #114: 73
1 16 72185
16 7 215819
13 5 390889
9 18 221251
17 4 374401
13 17 446723
18 6 392869
19 1 288266
10 15 191552
12 19 151227
4 14 429854
8 4 414158
10 5 143959
14 5 318171
14 1 137630
3 11 210386
11 4 219037
18 12 277218
13 16 365811
18 14 394324
7 13 413288
2 19 298816
10 18 222356
9 8 157394
6 14 300368
17 10 118759
16 8 194119
8 6 166681
18 11 302508
5 8 283196
15 3 276191
4 2 308063
7 18 400328
14 9 173090
14 15 365764
6 12 181691
4 12 215209
5 9 145081
16 15 229399
14 19 341407
10 19 251697
10 1 36582
18 2 274777
2 12 152878
3 4 400305
15 18 186123
3 8 163276
15 9 192674
19 7 431900
9 17 117647
15 12 91095
5 2 116472
2 11 178168
5 12 133834
2 7 232637
1 2 89003
9 3 168230
19 16 289531
4 1 292224
6 5 143096
13 2 380385
11 7 305963
16 3 131505
9 1 35460
16 10 37847
17 2 94929
6 11 206981
10 11 125747
13 9 329086
10 6 172757
19 18 246255
7 6 350729
4 13 72322
Case #115: 21
12 2 484722
11 3 73236
5 12 96905
8 2 824471
8 4 570755
11 7 209065
5 1 617344
7 5 136520
10 8 409709
8 7 576912
7 2 251297
9 3 228790
7 4 413632
11 2 415866
2 9 571420
10 12 221294
11 9 155554
5 3 691
11 6 427506
6 8 525003
3 12 96214
Case #116: 15
6 1 290351
6 7 240892
4 9 410113
3 1 280150
3 2 116758
4 6 440459
8 5 629879
3 4 430258
1 5 248043
6 8 184790
9 6 408713
6 2 200662
5 4 97935
3 6 83904
1 8 381836
Case #117: 258
10 6 196062
15 31 160552
26 20 162888
10 21 78670
11 19 162943
22 11 94679
10 20 91803
8 24 26967
17 9 205267
27 6 125302
6 29 198541
9 25 215361
1 22 156069
7 26 132915
10 5 108906
28 16 135676
5 25 54292
6 19 143366
16 5 123601
23 9 216848
10 17 44520
15 10 47276
29 14 105322
18 5 152485
10 12 82969
11 8 46243
17 21 34150
8 3 144892
2 18 160978
17 7 152917
14 13 203327
7 18 113622
18 20 152790
13 15 159061
26 29 73564
29 23 64212
12 14 172041
2 20 68454
28 11 78660
24 15 43775
26 11 117215
17 32 186949
32 6 58694
32 4 171906
6 30 149614
15 27 28996
32 8 196184
19 30 156453
17 16 59215
2 32 242420
27 30 24312
11 3 166225
18 12 110728
4 11 162575
23 17 17213
8 29 85427
4 17 130384
8 30 36500
23 6 134329
23 3 166107
1 29 109999
1 17 154046
12 21 4299
30 20 94537
8 21 20098
32 9 149376
8 2 71745
3 21 155448
32 13 289668
17 8 38428
8 4 116332
15 26 118361
23 30 33339
21 4 96234
32 25 197043
9 29 168357
19 3 76848
10 2 99991
27 5 38146
5 8 50334
5 1 106139
19 14 89142
17 18 105507
14 9 63035
10 26 71085
2 6 184859
7 12 191108
4 26 175314
28 31 157359
19 7 141451
25 21 24056
18 24 113298
19 22 160404
11 7 230828
4 22 169915
8 31 143744
22 3 163686
20 22 78268
25 20 57377
6 13 299477
29 21 81149
3 4 107002
26 1 140825
24 12 2570
18 6 206348
29 20 94282
25 13 166399
15 1 156802
7 6 92726
19 31 86259
13 27 182545
16 27 85455
5 28 88367
4 13 186265
9 1 123254
25 1 143952
29 7 182219
28 7 197761
4 9 157743
31 21 123646
1 27 127806
25 27 16146
32 10 218730
22 16 58286
7 8 191087
4 29 136570
2 27 59557
22 27 65771
15 22 42287
32 1 171148
21 19 124231
18 22 145038
12 5 50355
20 32 234232
21 7 186809
10 7 184698
24 19 122502
12 28 38012
6 1 147701
31 20 181405
29 3 117616
23 12 21236
32 26 166947
11 18 172770
27 9 207821
2 19 138167
32 14 110929
11 23 67458
13 16 97090
17 3 154526
23 27 9027
19 27 132141
9 31 205178
9 24 213058
14 1 84807
12 19 119932
2 12 71766
25 2 57649
8 25 28334
2 31 112951
15 17 2756
16 25 69309
3 31 154437
30 4 128456
23 4 113171
1 2 142502
23 31 140583
24 1 118167
1 31 81924
20 17 47283
20 4 137988
14 11 153931
20 9 171575
29 16 12216
16 1 97783
1 13 151776
18 21 106429
13 11 157915
13 18 240052
9 8 195633
1 18 121532
32 3 98635
3 9 50741
2 15 58227
1 7 137116
24 22 80550
30 31 155868
13 3 191033
14 21 167742
26 18 117331
1 11 158608
25 18 115601
14 17 152321
7 25 163011
9 16 177137
23 8 21215
29 18 152506
31 27 131556
23 2 50530
28 22 115992
22 7 178407
7 16 190999
26 19 145160
7 32 34032
17 2 55471
14 2 206427
16 10 14695
32 30 188619
2 29 102470
8 27 12188
21 23 16937
29 22 46070
26 13 160144
26 14 80606
4 16 124354
7 14 76897
29 15 49755
28 32 163729
19 16 102118
24 30 39091
30 12 36521
3 20 142171
24 32 182955
24 6 124261
25 26 125699
25 14 162415
12 27 12209
17 29 46999
10 3 120095
16 3 126396
14 27 169374
25 10 54614
27 21 7910
7 30 154587
3 14 12294
12 31 119347
17 25 10094
1 19 4335
1 3 72513
9 13 140292
11 10 46130
12 32 180385
19 4 30154
7 9 115344
9 26 119053
1 28 153609
22 23 56744
24 31 116777
6 4 113212
26 16 63054
3 26 68312
14 18 61313
29 31 190253
23 25 7119
3 15 151770
22 25 49625
6 21 117392
21 1 119896
Case #118: 8
6 2 125000
2 1 300575
7 5 372800
7 2 273266
2 5 99534
2 4 36438
3 4 464456
7 1 27309
Case #119: Impossible
Case #120: Impossible
Case #121: 9
4 3 38171
5 2 345289
1 5 602043
7 6 591849
3 2 43812
1 2 438903
5 6 371802
4 5 268339
4 6 103463
Case #122: 454
40 33 83596
25 28 140999
4 19 33186
11 23 126701
8 5 173901
5 19 50000
3 33 167116
35 2 44255
15 18 77771
23 9 192951
8 19 136662
38 34 66035
43 1 74271
8 40 71947
38 18 77370
3 6 165402
23 2 153665
20 19 77836
18 22 72535
8 13 92197
16 37 106965
10 28 81926
31 11 86002
12 4 73982
7 5 132812
34 22 34653
9 15 50932
18 1 89348
34 25 105381
20 38 85773
7 18 44105
39 17 65053
33 23 147022
12 7 91219
34 7 80217
8 29 126911
7 8 128399
26 37 50312
36 12 84343
5 15 38961
41 25 110655
6 29 94624
38 28 116627
35 21 40432
34 3 109456
27 15 150967
31 19 100152
31 13 60214
15 36 114100
27 40 86443
19 37 57990
41 39 26745
1 2 44138
17 12 81389
10 30 87099
34 43 93153
30 22 34042
5 23 165380
25 14 99161
1 8 174542
37 35 40254
33 36 107578
31 21 91092
39 29 50839
43 22 69750
32 35 87070
38 14 88861
8 9 157483
29 31 45501
39 33 97544
32 22 26502
10 4 90701
34 6 80049
30 18 83647
25 22 85778
20 37 89410
32 24 97917
28 8 175959
33 22 95268
5 40 101954
17 11 15611
42 40 64220
37 30 65580
7 37 111085
35 30 27730
25 15 116781
20 16 18671
38 43 107848
25 11 94353
40 2 91761
29 3 138484
43 28 14529
33 28 107799
42 22 60570
42 27 115776
18 29 66910
6 36 105864
27 3 154096
39 26 73580
35 38 40120
40 23 122021
40 11 66716
6 35 54134
35 27 116978
3 41 96317
24 1 90168
39 19 105490
26 9 95499
36 43 108438
37 13 92561
30 34 53645
19 36 106387
33 21 56298
5 41 89157
41 28 116956
16 34 87458
6 9 64545
9 14 38330
31 10 128755
29 28 49596
14 42 63903
35 16 70231
19 24 39527
4 21 44938
20 9 89079
4 32 81364
10 40 109469
41 16 9818
30 26 37262
7 11 88122
27 25 114307
13 24 65558
28 35 78911
42 29 56145
10 41 96672
13 21 79328
2 29 84745
33 41 70799
36 7 6876
4 20 56066
17 31 70391
42 3 120757
11 35 17291
20 39 35598
27 24 127825
31 40 19286
13 39 65552
16 26 56653
22 17 72481
26 17 76905
26 13 105883
37 27 154828
21 19 46734
39 21 96430
10 22 105344
18 41 450
32 29 32127
41 38 76920
39 7 70400
8 20 93597
10 1 6874
15 17 51632
19 18 86239
37 4 44760
36 32 65190
5 42 77478
19 13 80987
30 38 65446
37 6 53204
12 3 143881
16 8 94562
13 9 123383
3 35 119555
14 7 58947
7 13 114126
16 17 73720
36 35 80111
2 34 70170
3 21 148526
6 8 153829
20 22 64132
16 7 53473
22 11 76659
40 35 63018
15 38 401
26 36 83614
33 38 21004
29 22 5625
1 17 91234
12 21 64650
23 38 149530
22 38 75478
4 6 58640
14 5 127009
28 7 100785
17 40 51105
15 19 11039
5 35 78680
11 34 43206
21 5 74656
6 30 79460
19 1 50641
12 27 121210
11 8 113812
29 9 30572
8 41 84744
7 27 43743
19 7 99511
20 36 45632
2 25 121317
24 31 71457
10 25 138835
19 2 15575
30 11 42617
36 23 129316
17 33 72235
17 28 90824
26 4 58082
32 15 89773
17 8 98201
4 24 17757
35 20 51560
34 4 32825
3 24 108708
11 3 125385
14 32 39885
31 4 78382
41 2 78964
29 21 74563
27 17 128891
29 37 95197
15 28 116226
2 21 39429
2 15 4536
5 36 125936
23 16 144636
42 33 59120
35 10 86195
24 42 12049
42 9 85517
21 14 82321
35 12 69476
9 17 97428
4 36 73201
27 22 75555
19 35 28680
18 20 8403
2 11 59142
33 20 78752
43 11 108327
17 3 109774
17 23 121323
37 39 117064
28 34 78624
31 34 45557
17 13 66624
4 8 114892
11 10 101082
22 5 113626
23 24 120257
10 9 97408
25 9 110725
23 19 138090
42 7 72033
16 2 71237
7 30 79606
12 6 43370
35 8 107982
36 2 115743
5 12 68718
14 23 172111
36 34 73341
37 10 52221
25 12 146538
37 41 97147
38 16 67102
3 7 139972
6 28 130641
27 41 73646
21 25 117494
40 15 90118
7 21 91227
37 5 44706
15 26 44567
16 24 74786
16 42 69029
13 14 111819
32 38 89372
33 2 25139
39 12 74309
35 23 109410
30 15 65045
25 6 131196
18 34 78090
40 4 69928
21 1 75297
22 36 38688
24 22 71415
32 16 97762
6 20 77938
40 16 22615
24 43 104287
33 35 60322
29 23 164353
28 3 164386
19 25 105742
39 36 63524
15 42 38517
31 2 106773
20 5 97110
12 33 50360
25 36 77440
15 13 83114
18 11 63244
14 16 84936
40 21 89857
12 29 78816
6 14 102382
25 3 149894
16 11 72612
18 26 46385
40 25 97858
4 29 60487
10 43 67397
9 43 72792
19 33 31642
40 41 12797
2 32 93507
6 31 96894
15 21 35695
24 40 52171
6 32 103386
38 10 46877
39 3 97468
42 8 109184
37 25 117316
9 35 85515
27 6 142731
42 37 39052
42 18 58761
11 15 54606
12 34 95391
33 26 23964
21 38 35294
42 31 72674
12 40 60361
34 23 135325
33 5 18358
37 12 76708
38 9 50531
17 42 13115
9 36 63635
23 25 188876
8 36 121523
33 13 95555
36 3 133096
28 14 57354
17 6 62537
22 2 79613
42 30 26528
12 24 80323
24 14 73548
9 22 24947
14 4 68245
42 4 5708
13 22 98436
34 10 99231
35 17 11913
39 35 76810
12 42 68274
23 13 142271
14 17 74614
14 39 58597
43 33 93270
10 14 107477
5 10 44231
2 9 54666
2 38 4135
34 20 77475
14 8 134669
23 10 172895
28 21 116939
25 5 131320
25 42 78264
32 1 124972
20 29 58507
34 29 29028
6 16 78903
13 3 103770
42 20 50358
31 35 71472
13 10 121428
20 21 89588
27 4 110068
10 42 84993
24 34 36762
9 12 79887
7 40 56452
13 25 120357
42 28 77709
13 4 47801
24 21 39818
21 8 136953
6 1 45855
5 34 104595
13 38 82713
21 16 95753
13 12 112069
42 34 27117
6 41 69085
13 28 119802
19 12 40796
11 33 75209
37 33 26348
13 30 68621
39 34 50895
33 10 25873
33 15 20603
17 24 1066
11 37 55141
14 33 108651
14 34 36786
4 25 72556
42 6 52932
19 34 54595
15 12 29757
12 23 171923
42 23 110612
3 8 11573
5 1 37357
14 40 72545
34 21 45535
33 1 18999
26 6 50820
4 30 20820
4 7 66325
6 15 14415
8 24 97135
14 41 75118
6 21 49308
24 35 10847
23 8 50074
20 12 56417
12 32 60016
11 20 66447
27 8 142523
13 2 78578
42 21 39230
22 1 98470
43 12 137204
36 27 36867
17 21 38752
35 14 62701
39 23 135969
Case #123: Impossible
Case #124: 335
23 21 196536
8 12 230194
28 32 170755
35 11 157729
4 6 116370
25 13 184763
15 27 187773
7 34 48206
10 13 123854
3 31 187706
31 5 148971
1 37 28880
13 12 52785
21 1 112925
2 21 90880
33 20 189190
34 27 84615
29 1 79916
34 17 191770
5 23 187780
32 35 192390
24 20 183346
25 4 142691
16 6 85379
13 3 131200
29 9 183298
29 17 66446
8 32 184409
5 26 204398
30 4 79242
12 30 192355
19 26 257049
19 4 165634
36 28 103651
4 24 164311
13 26 124644
33 35 103176
7 6 149614
4 33 182195
33 30 102953
31 34 93637
33 36 198449
17 2 141671
31 21 131594
11 14 263748
